tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,streaming,tech_support,support_calls,num_services,churn
6,480.1,2447.75,one-year,upi,dsl,False,False,0,1,1
56,757.71,42890.74,one-year,upi,fiber,False,False,2,0,0
47,775.29,36803.34,month-to-month,upi,wireless,True,False,1,3,1
32,766.49,24594.78,month-to-month,wallet,dsl,True,False,3,4,0
31,814.99,25273.54,month-to-month,debit_card,dsl,True,False,3,4,0
62,1202.05,74623.65,month-to-month,upi,fiber,True,False,4,5,0
6,699.66,4195.93,month-to-month,upi,wireless,False,True,2,2,0
50,1060.52,52383.09,two-year,net_banking,fiber,True,False,0,4,0
14,1154.18,15943.4,month-to-month,debit_card,fiber,False,False,1,4,1
6,960.26,5797.83,month-to-month,debit_card,fiber,False,False,2,1,0
38,937.8,36345.54,one-year,upi,dsl,True,False,0,5,0
71,717.68,51301.55,month-to-month,upi,fiber,False,True,0,0,1
53,784.47,42313.09,month-to-month,wallet,dsl,True,False,3,3,1
55,1267.68,69020.17,month-to-month,credit_card,fiber,True,False,4,5,1
52,640.2,33112.44,two-year,debit_card,dsl,True,True,1,3,0
57,929.14,53997.63,month-to-month,wallet,dsl,True,False,3,5,1
37,811.26,29645.17,one-year,debit_card,fiber,False,False,1,0,0
9,1008.64,8696.32,one-year,wallet,fiber,True,True,2,3,0
61,1105.31,67287.98,month-to-month,upi,fiber,False,False,3,4,1
32,1047.16,34518.27,one-year,upi,fiber,False,False,4,3,0
36,1032.88,36847.89,month-to-month,wallet,wireless,False,False,0,5,0
27,805.3,22021.86,month-to-month,net_banking,wireless,False,False,1,2,1
13,824.65,10916.51,month-to-month,credit_card,wireless,True,False,1,4,0
67,917.57,60512.7,two-year,credit_card,fiber,True,True,1,2,1
57,1179.68,67233.82,month-to-month,wallet,fiber,False,False,1,5,0
47,878.61,41018.25,month-to-month,credit_card,fiber,False,True,0,0,1
29,738.63,21759.12,two-year,upi,fiber,False,False,2,1,0
60,469.46,29037.03,month-to-month,debit_card,dsl,False,False,3,0,1
39,1023.61,39748.34,two-year,credit_card,fiber,False,False,0,4,0
32,506.53,16036.7,one-year,credit_card,dsl,False,True,0,1,0
32,624.29,21236.09,month-to-month,wallet,dsl,False,False,1,1,1
16,948.41,14818.72,one-year,debit_card,wireless,True,True,1,5,0
6,533.32,2528.39,one-year,upi,dsl,False,False,0,2,0
40,792.08,32371.91,month-to-month,upi,fiber,False,True,1,0,1
64,901.79,57689.43,two-year,wallet,fiber,False,True,1,0,1
4,484.67,2080.32,two-year,upi,dsl,False,False,3,1,0
62,1001.65,63217.86,two-year,wallet,wireless,True,False,4,5,0
60,803.39,47501.62,one-year,upi,dsl,True,False,2,3,0
20,972.53,19352.85,month-to-month,debit_card,wireless,True,False,0,5,1
46,771.4,34866.27,month-to-month,wallet,wireless,False,True,1,1,0
12,617.01,7571.71,month-to-month,debit_card,dsl,False,True,0,2,1
55,572.3,31199.83,month-to-month,wallet,dsl,False,True,1,0,0
51,710.5,35648.87,one-year,upi,dsl,False,False,2,2,0
25,1023.37,25950.47,one-year,debit_card,fiber,True,False,1,3,0
4,725.64,2907.72,month-to-month,credit_card,dsl,True,False,8,4,1
70,299.91,20368.13,month-to-month,wallet,none,False,False,2,2,0
32,682.79,21254.12,one-year,upi,dsl,False,False,1,4,0
65,854.71,55659.89,month-to-month,upi,wireless,True,False,0,3,0
49,598.72,28501.65,two-year,credit_card,dsl,False,False,1,1,0
56,578.96,32535.55,one-year,net_banking,none,True,False,3,5,0
55,643.86,36082.32,month-to-month,wallet,dsl,False,True,0,2,0
14,867.88,12483.84,month-to-month,wallet,fiber,False,False,0,0,0
26,1189.89,30625.48,one-year,debit_card,fiber,False,False,1,5,0
34,847.27,28944.27,month-to-month,credit_card,dsl,True,True,0,5,0
36,607.36,21239.22,one-year,wallet,wireless,False,True,0,0,0
3,977.38,3000.27,month-to-month,wallet,dsl,True,False,3,5,1
39,1206.11,46874.8,month-to-month,wallet,fiber,False,False,2,5,1
11,1080.5,11365.87,month-to-month,wallet,fiber,False,False,0,4,0
54,872.78,47441.78,one-year,wallet,fiber,False,True,0,1,0
49,748.17,35671.54,two-year,upi,dsl,False,True,0,3,0
67,703.95,46571.46,two-year,upi,dsl,False,False,3,3,1
54,699.52,37241.44,month-to-month,net_banking,dsl,True,False,3,3,1
26,724.43,18582.88,one-year,debit_card,dsl,True,True,1,3,0
70,800.95,56716.48,month-to-month,upi,dsl,True,False,1,3,0
29,864.55,25449.05,month-to-month,debit_card,wireless,False,False,2,3,0
23,1079.52,24881.7,two-year,credit_card,fiber,False,False,1,4,0
66,1068.45,70546.82,month-to-month,wallet,fiber,False,False,1,3,1
27,800.43,21605.7,two-year,wallet,fiber,False,True,1,0,0
5,517.23,3272.06,month-to-month,upi,dsl,False,False,2,0,1
34,1187.68,39473.32,month-to-month,debit_card,fiber,True,False,0,5,1
58,769.49,45016.03,month-to-month,upi,dsl,True,False,1,5,0
13,572.63,7190.07,two-year,wallet,dsl,False,False,0,3,0
33,886.33,29500.42,month-to-month,upi,fiber,False,True,0,1,0
9,1057.36,9770.1,one-year,credit_card,fiber,True,False,3,4,0
50,150.0,7866.62,month-to-month,credit_card,none,False,True,0,0,0
34,608.9,21494.41,one-year,credit_card,dsl,False,False,0,2,0
24,921.23,21424.05,month-to-month,credit_card,fiber,False,True,0,1,0
16,517.89,8788.98,month-to-month,credit_card,dsl,False,True,0,0,0
41,838.59,34350.18,one-year,credit_card,dsl,True,False,3,4,0
48,1047.65,50057.0,one-year,upi,fiber,True,False,1,3,0
68,529.06,36992.85,month-to-month,debit_card,dsl,False,True,0,1,0
31,1063.83,33329.6,month-to-month,debit_card,fiber,False,True,2,3,0
11,829.29,8913.55,month-to-month,upi,fiber,False,True,0,0,1
60,644.13,39126.21,two-year,credit_card,dsl,False,False,1,2,0
45,827.94,37234.36,one-year,upi,wireless,False,False,1,3,0
51,989.62,50254.35,one-year,wallet,fiber,False,False,1,2,1
7,862.53,5734.65,one-year,upi,wireless,False,False,1,4,0
22,929.39,20598.95,one-year,credit_card,fiber,False,False,3,1,1
56,628.25,34875.33,month-to-month,upi,wireless,False,True,0,0,1
60,725.11,43584.49,month-to-month,debit_card,dsl,True,False,2,3,0
31,1251.56,39241.92,one-year,upi,fiber,True,False,0,5,1
58,685.28,39801.69,month-to-month,credit_card,wireless,False,True,0,2,0
61,476.99,30084.69,month-to-month,upi,dsl,False,True,0,0,1
28,1140.89,31951.45,one-year,credit_card,fiber,True,False,3,5,1
65,367.9,24588.32,two-year,credit_card,none,True,False,0,2,0
21,934.12,20104.68,one-year,net_banking,fiber,False,False,2,1,0
17,975.85,17352.08,month-to-month,credit_card,fiber,False,False,0,3,1
49,1040.27,51959.52,two-year,credit_card,fiber,False,True,1,1,0
46,941.86,42444.99,month-to-month,wallet,wireless,True,False,1,5,1
10,693.03,7062.92,month-to-month,upi,wireless,False,False,1,1,1
60,1025.13,61452.12,two-year,credit_card,fiber,True,False,1,3,0
14,727.31,10238.03,one-year,debit_card,dsl,False,False,1,3,0
58,535.38,30853.31,two-year,credit_card,dsl,False,True,0,1,0
0,1003.38,0.0,one-year,upi,fiber,False,True,0,2,0
58,557.3,31773.83,one-year,debit_card,wireless,False,True,0,0,0
57,936.55,53432.24,month-to-month,credit_card,fiber,False,False,0,3,1
56,743.9,42125.41,month-to-month,debit_card,dsl,True,False,2,4,1
48,947.27,45221.91,two-year,upi,dsl,True,False,2,5,0
34,937.52,31711.55,two-year,debit_card,fiber,False,True,0,1,0
51,574.64,28957.51,month-to-month,wallet,wireless,False,True,1,1,0
20,765.69,14816.55,month-to-month,upi,dsl,False,False,1,3,0
56,1000.9,55932.52,month-to-month,debit_card,fiber,True,False,3,4,1
40,973.64,39117.15,month-to-month,net_banking,wireless,True,False,0,5,1
33,539.61,18435.88,two-year,net_banking,wireless,False,False,0,0,0
36,619.54,21707.36,month-to-month,upi,dsl,False,True,0,1,0
41,702.73,28796.86,month-to-month,debit_card,wireless,False,True,1,1,0
2,923.98,2437.03,two-year,upi,fiber,False,True,0,1,1
10,735.24,6762.96,month-to-month,net_banking,wireless,True,False,2,2,0
17,865.43,15345.88,month-to-month,debit_card,dsl,True,False,2,5,1
8,725.04,5580.82,month-to-month,debit_card,fiber,False,True,0,0,1
32,1048.48,33906.89,month-to-month,upi,fiber,False,False,3,4,1
48,772.43,36967.45,month-to-month,credit_card,dsl,True,False,0,3,1
47,1043.36,49267.45,month-to-month,upi,fiber,False,False,2,3,1
34,1105.22,38381.89,month-to-month,credit_card,fiber,False,False,1,4,0
62,863.11,53451.85,month-to-month,debit_card,fiber,False,False,3,0,0
41,734.99,30632.96,month-to-month,credit_card,dsl,False,False,1,4,1
5,911.01,4692.36,month-to-month,wallet,fiber,False,True,1,1,1
55,666.04,36239.31,two-year,upi,dsl,False,False,2,3,0
41,973.89,39856.85,month-to-month,upi,wireless,True,False,0,4,0
46,452.22,20698.24,month-to-month,debit_card,none,True,False,1,3,0
41,623.23,24846.32,two-year,credit_card,dsl,False,True,1,1,0
40,614.92,24826.23,month-to-month,upi,dsl,False,False,0,2,0
6,759.1,4883.62,month-to-month,credit_card,dsl,False,True,0,2,1
40,899.93,36403.31,one-year,debit_card,fiber,False,True,1,0,0
58,921.52,54162.99,month-to-month,credit_card,wireless,False,False,3,4,0
22,858.76,19369.75,month-to-month,credit_card,fiber,False,True,1,0,0
